"id","item_id","role_id","rank_value","user_id","timestamp","run_id"
"8","1","8","2","0","2021-02-11 10:48:06","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"9","3","8","4","0","2021-02-11 10:48:06","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"10","3","8","3","0","2021-02-11 10:52:15","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"11","4","8","4","0","2021-02-11 11:16:36","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"12","1","8","3","0","2021-02-11 11:27:56","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"13","4","8","2","0","2021-02-11 11:33:02","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"14","1","8","3","0","2021-02-11 11:33:02","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"15","3","8","3","0","2021-02-11 11:35:02","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"16","4","8","5","0","2021-02-11 11:35:03","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"17","1","8","4","0","2021-02-11 11:35:57","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"18","4","8","2","0","2021-02-11 11:47:38","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"19","14","8","3","0","2021-02-11 11:47:38","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"20","1","8","4","0","2021-02-11 12:33:29","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"21","4","8","2","0","2021-02-11 12:33:29","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"22","3","8","2","0","2021-02-11 12:33:29","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"23","4","8","3","0","2021-02-11 12:34:07","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"24","3","8","3","0","2021-02-11 12:34:07","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"25","1","8","3","0","2021-02-11 12:34:07","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"26","13","8","2","0","2021-02-11 12:45:13","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"27","15","8","2","0","2021-02-11 12:52:20","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"28","12","8","2","0","2021-02-11 12:52:37","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"52","9","4","3","0","2021-02-17 09:27:20","06ce4918-66a2-488f-b640-e34e1ba2706f"
"53","5","3","4","0","2021-02-17 09:53:57","06ce4918-66a2-488f-b640-e34e1ba2706f"
"54","11","1","3","0","2021-02-17 11:31:13","06ce4918-66a2-488f-b640-e34e1ba2706f"
"55","10","1","3","0","2021-02-17 11:32:00","06ce4918-66a2-488f-b640-e34e1ba2706f"
"56","7","4","5","0","2021-02-17 11:46:09","21876c5b-d436-4ac7-8a0a-91900f144b0b"
"57","27","3","3","0","2021-02-19 11:44:38","b7be0e7f-0f61-4cad-b07d-4eaec2ed2e0b"
"58","70","3","2","0","2021-02-19 11:49:24","b7be0e7f-0f61-4cad-b07d-4eaec2ed2e0b"
"59","45","3","4","0","2021-02-19 11:55:31","b7be0e7f-0f61-4cad-b07d-4eaec2ed2e0b"
"63","22","4","4","0","2021-02-22 16:45:49","b7be0e7f-0f61-4cad-b07d-4eaec2ed2e0b"
"64","75","1","1","0","2021-02-24 16:12:24","b7be0e7f-0f61-4cad-b07d-4eaec2ed2e0b"
"65","80","1","1","0","2021-02-24 16:13:03","b7be0e7f-0f61-4cad-b07d-4eaec2ed2e0b"
"66","40","1","4","0","2021-02-24 16:13:58","b7be0e7f-0f61-4cad-b07d-4eaec2ed2e0b"
"75","1","5","5","0","2021-03-27 19:33:27","3733d4ed-8d00-4065-aad0-8f63ea9c6b1a"
"76","3","5","5","0","2021-03-27 19:33:27","3733d4ed-8d00-4065-aad0-8f63ea9c6b1a"
"77","4","5","4","0","2021-03-27 19:33:27","3733d4ed-8d00-4065-aad0-8f63ea9c6b1a"
"78","5","5","2","0","2021-03-29 17:07:55","899b2b64-a7f1-45bd-9cb8-f97faeda3965"
"79","12","5","3","0","2021-03-29 17:07:55","899b2b64-a7f1-45bd-9cb8-f97faeda3965"
"80","8","5","3","0","2021-03-29 17:07:55","899b2b64-a7f1-45bd-9cb8-f97faeda3965"
"81","75","1","5","0","2021-04-11 16:18:27","53499915-3ac7-4677-a928-c277b49e401f"
"82","77","1","3","0","2021-04-11 16:24:03","53499915-3ac7-4677-a928-c277b49e401f"
"83","78","1","3","0","2021-04-11 16:25:06","53499915-3ac7-4677-a928-c277b49e401f"
"84","80","1","3","0","2021-04-11 16:26:46","53499915-3ac7-4677-a928-c277b49e401f"
"85","83","1","3","0","2021-04-18 17:52:39","53499915-3ac7-4677-a928-c277b49e401f"
"86","76","1","5","0","2021-04-19 17:28:40","51dbd188-69a7-4d60-8b27-5fb56a214777"
"87","18","1","3","0","2021-04-19 17:46:18","51dbd188-69a7-4d60-8b27-5fb56a214777"
"88","40","1","5","0","2021-04-19 17:46:18","51dbd188-69a7-4d60-8b27-5fb56a214777"
"89","75","4","1","0","2021-04-21 14:06:44","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"90","26","4","1","0","2021-04-21 14:16:25","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"91","70","4","2","0","2021-04-21 14:19:40","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"92","42","4","1","0","2021-04-21 14:20:56","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"93","43","4","2","0","2021-04-21 14:22:15","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"94","87","4","2","0","2021-04-21 14:29:43","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"95","28","4","1","0","2021-04-21 14:36:43","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"96","88","4","1","0","2021-04-21 14:37:18","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"97","62","4","2","0","2021-04-21 14:42:40","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"98","41","4","2","0","2021-04-21 14:45:37","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"99","77","4","2","0","2021-04-21 15:01:00","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"100","16","4","1","0","2021-04-21 15:04:21","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"101","74","4","3","0","2021-04-21 15:05:52","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"102","25","4","2","0","2021-04-21 15:07:42","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"103","80","4","2","0","2021-04-21 15:08:15","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"104","40","4","4","0","2021-04-21 15:11:44","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"105","86","4","4","0","2021-04-21 15:13:38","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"106","85","4","3","0","2021-04-21 15:16:25","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"107","39","4","3","0","2021-04-21 15:28:56","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"108","34","1","3","0","2021-04-21 16:06:05","5e2e6fe5-2885-4e1c-b267-5d1e2a1b0e3c"
"109","29","1","3","0","2021-04-21 16:06:05","5e2e6fe5-2885-4e1c-b267-5d1e2a1b0e3c"
"110","32","1","3","0","2021-04-21 16:07:34","5e2e6fe5-2885-4e1c-b267-5d1e2a1b0e3c"
"111","22","1","4","0","2021-04-21 16:10:14","5e2e6fe5-2885-4e1c-b267-5d1e2a1b0e3c"
"112","19","4","4","0","2021-04-21 16:13:49","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"113","21","4","4","0","2021-04-21 16:16:13","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"114","48","4","2","0","2021-04-21 16:19:35","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"115","45","4","2","0","2021-04-21 16:21:00","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"116","20","4","2","0","2021-04-21 16:22:24","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"117","66","4","2","0","2021-04-21 16:28:03","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"118","47","4","2","0","2021-04-21 16:29:05","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"119","44","4","3","0","2021-04-21 16:31:11","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"120","46","4","4","0","2021-04-21 16:32:33","f26d25cc-015b-44ec-8a28-dab9a76fa60c"
"121","41","1","5","0","2021-04-21 17:44:57","fcde0f45-74ec-40b5-b9b5-8a82e85e0f20"
"138","48","1","3","0","2021-05-17 17:00:56","92dccf21-36d4-4b64-af42-44c1ee095326"
"139","25","1","2","0","2021-05-17 17:00:56","92dccf21-36d4-4b64-af42-44c1ee095326"
"140","27","1","4","0","2021-05-17 17:12:55","92dccf21-36d4-4b64-af42-44c1ee095326"
"141","43","1","5","0","2021-05-18 09:50:00","92dccf21-36d4-4b64-af42-44c1ee095326"
"142","19","1","3","0","2021-05-18 09:50:55","92dccf21-36d4-4b64-af42-44c1ee095326"
"143","21","1","5","0","2021-05-18 09:53:39","92dccf21-36d4-4b64-af42-44c1ee095326"
"144","23","4","2","0","2021-06-03 11:50:07","57fa6388-0150-4b74-97d6-8c1a66c9d504"
"145","29","4","4","0","2021-06-03 11:58:07","57fa6388-0150-4b74-97d6-8c1a66c9d504"
"146","24","5","4","0","2021-06-03 14:05:48","57fa6388-0150-4b74-97d6-8c1a66c9d504"
"147","34","5","3","0","2021-06-03 14:06:13","57fa6388-0150-4b74-97d6-8c1a66c9d504"
"148","38","1","3","0","2021-06-06 11:24:55","91522970-45d4-41ed-80fa-64b3fa1f4711"
"149","46","1","5","0","2021-06-06 12:01:09","91522970-45d4-41ed-80fa-64b3fa1f4711"
"150","28","1","3","0","2021-06-06 12:32:18","91522970-45d4-41ed-80fa-64b3fa1f4711"
"151","37","1","3","0","2021-06-06 12:32:18","91522970-45d4-41ed-80fa-64b3fa1f4711"
"152","39","1","3","0","2021-06-06 12:32:18","91522970-45d4-41ed-80fa-64b3fa1f4711"
"153","70","1","3","0","2021-06-06 13:48:49","ee429ee2-06fc-4416-8233-3ad5fd3087a2"
"154","1","1","4","0","2021-06-07 10:56:10","899b2b64-a7f1-45bd-9cb8-f97faeda3965"
"155","14","1","2","0","2021-06-07 11:09:22","899b2b64-a7f1-45bd-9cb8-f97faeda3965"
"156","2","1","4","0","2021-06-12 17:33:37","51a4f509-ed31-4b24-8bc4-0413c3f7a379"
"159","27","5","3","0","2021-06-28 09:33:46","4927520b-69ec-40b9-8d6d-3e1fc2031850"
"160","25","5","3","0","2021-06-28 09:33:46","4927520b-69ec-40b9-8d6d-3e1fc2031850"
"161","75","5","5","0","2021-06-28 10:16:42","7feaaa6a-0eb4-48a7-97e1-23e78db71a1a"
"162","26","5","5","0","2021-06-28 10:16:42","7feaaa6a-0eb4-48a7-97e1-23e78db71a1a"
